index,Xwidth,Xcumsum,Yval,Xcumsumleft,Macro grouping,Stage subgrouped
158,0.690742267,1198.529984,172029.9094,1197.839242,Liver transplant,Liver Transplant - Tx
159,1.370403602,1199.900388,172027.5088,1198.529984,Liver transplant,Liver Transplant - Tx
160,0.049517022,1199.949905,171997.7689,1199.900388,Liver transplant,Liver Transplant - Tx
161,0.194094581,1200.143999,171914.0827,1199.949905,Liver transplant,Liver Transplant - Tx
162,0.959234598,1201.103234,171876.6333,1200.143999,Liver transplant,Liver Transplant
163,0.314811029,1201.418045,171823.2444,1201.103234,Liver transplant,Liver Transplant
164,0.314811029,1201.732856,171823.2444,1201.418045,Liver transplant,Liver Transplant
165,53.05466537,1254.787521,171696.0384,1201.732856,Liver transplant,Decomp
166,0.715926818,1255.503448,171671.9726,1254.787521,Liver transplant,Liver Transplant
167,0.655155197,1256.158603,171578.0929,1255.503448,Liver transplant,Liver Transplant
168,0.278659646,1256.437263,171530.3084,1256.158603,Liver transplant,Liver Transplant
169,0.140535597,1256.577799,171472.6957,1256.437263,Liver transplant,Liver Transplant
170,0.000451411,1256.57825,171390.024,1256.577799,Liver transplant,Liver Transplant
171,0.000451411,1256.578702,171390.024,1256.57825,Liver transplant,Liver Transplant
172,0.241807119,1256.820509,171229.5396,1256.578702,Liver transplant,Liver Transplant
173,0.17857345,1256.999082,171207.6307,1256.820509,Liver transplant,Liver Transplant - Tx
174,0.175714661,1257.174797,170922.9966,1256.999082,Liver transplant,Liver Transplant - Tx
175,1.480934847,1258.655732,170829.9881,1257.174797,Liver transplant,Liver Transplant - Tx
176,0.609361135,1259.265093,170790.6893,1258.655732,Liver transplant,Liver Transplant - Tx
177,2.918618636,1262.183711,170678.7313,1259.265093,Liver transplant,Liver Transplant - Tx
178,0.004791738,1262.188503,170632.869,1262.183711,Liver transplant,Liver Transplant
179,0.004791738,1262.193295,170632.869,1262.188503,Liver transplant,Liver Transplant
180,0.000872462,1262.194167,170628.1353,1262.193295,Liver transplant,Liver Transplant
181,0.000872462,1262.19504,170628.1353,1262.194167,Liver transplant,Liver Transplant
182,0.000342174,1262.195382,170622.444,1262.19504,Liver transplant,Liver Transplant
183,0.000342174,1262.195724,170622.444,1262.195382,Liver transplant,Liver Transplant
184,0.19619688,1262.391921,170373.282,1262.195724,Liver transplant,Liver Transplant - Tx
185,0.001154202,1262.393075,170197.4855,1262.391921,Liver transplant,Liver Transplant
186,0.001154202,1262.394229,170197.4855,1262.393075,Liver transplant,Liver Transplant
187,0.263711916,1262.657941,170068.5487,1262.394229,Liver transplant,Liver Transplant - Tx
188,0.087044202,1262.744986,169498.8839,1262.657941,Liver transplant,Liver Transplant - Tx
189,0.087044202,1262.83203,169498.8839,1262.744986,Liver transplant,Liver Transplant - Tx
190,0.013610036,1262.84564,169466.7655,1262.83203,Liver transplant,Liver Transplant
191,0.013610036,1262.85925,169466.7655,1262.84564,Liver transplant,Liver Transplant
192,1.72088E-06,1262.859252,169072.8757,1262.85925,Liver transplant,Liver Transplant
193,5.73652E-07,1262.859252,169072.1661,1262.859252,Liver transplant,Liver Transplant
194,0.057034664,1262.916287,168725.6141,1262.859252,Liver transplant,Liver Transplant
195,0.057034664,1262.973321,168725.6141,1262.916287,Liver transplant,Liver Transplant
196,8.26809E-05,1262.973404,168593.5577,1262.973321,Liver transplant,Liver Transplant - Tx
197,0.111017824,1263.084422,167937.7968,1262.973404,Liver transplant,Decomp
198,0.000599703,1263.085022,167893.3936,1263.084422,Liver transplant,Liver Transplant - Tx
199,0.368866394,1263.453888,167798.9213,1263.085022,Liver transplant,Liver Transplant - Tx
200,0.402951826,1263.85684,167478.5755,1263.453888,Liver transplant,Decomp
201,0.004316178,1263.861156,167452.5433,1263.85684,Liver transplant,Liver Transplant
202,0.002408033,1263.863564,167400.4943,1263.861156,Liver transplant,Liver Transplant
203,0.454028258,1264.317592,167388.4117,1263.863564,Liver transplant,Decomp
204,0.00040667,1264.317999,167283.324,1264.317592,Liver transplant,Liver Transplant - Tx
205,0.000141316,1264.31814,167191.2667,1264.317999,Liver transplant,Liver Transplant - Tx
206,0.000221024,1264.318361,166641.9096,1264.31814,Liver transplant,Liver Transplant - Tx
207,0.520674951,1264.839036,166434.3029,1264.318361,Liver transplant,Liver Transplant - Tx
208,1.342109416,1266.181146,165120.6682,1264.839036,Liver transplant,Decomp
209,0.000779943,1266.181926,165106.8869,1266.181146,Liver transplant,Liver Transplant
210,0.000272057,1266.182198,165020.6625,1266.181926,Liver transplant,Liver Transplant
211,0.681048281,1266.863246,164721.8767,1266.182198,Liver transplant,Liver Transplant
212,4.79459E-05,1266.863294,164531.7718,1266.863246,Liver transplant,Liver Transplant
213,1.64744E-05,1266.86331,164458.563,1266.863294,Liver transplant,Liver Transplant
214,0.354492222,1267.217803,164188.1745,1266.86331,Liver transplant,Liver Transplant
215,0.575299772,1267.793102,163786.8995,1267.217803,Liver transplant,Liver Transplant
216,0.308515872,1268.101618,163650.4669,1267.793102,Liver transplant,Decomp
217,0.212531594,1268.31415,163501.0807,1268.101618,Liver transplant,Liver Transplant
218,0.284718963,1268.598869,163250.7696,1268.31415,Liver transplant,Liver Transplant
219,0.373931363,1268.9728,163189.984,1268.598869,Liver transplant,Liver Transplant
220,0.063619583,1269.03642,163084.8959,1268.9728,Liver transplant,Liver Transplant
221,0.128738116,1269.165158,162747.3381,1269.03642,Liver transplant,Liver Transplant
222,0.000243636,1269.165402,162679.2525,1269.165158,Liver transplant,Liver Transplant
223,8.91741E-05,1269.165491,162493.5993,1269.165402,Liver transplant,Liver Transplant
224,0.003605625,1269.169096,162389.0457,1269.165491,Liver transplant,Liver Transplant
225,0.000886217,1269.169983,162383.9504,1269.169096,Liver transplant,Liver Transplant
226,0.000270985,1269.170254,162379.4367,1269.169983,Liver transplant,Liver Transplant
227,0.001145289,1269.171399,162206.8257,1269.170254,Liver transplant,Liver Transplant
228,0.000307523,1269.171706,162200.1989,1269.171399,Liver transplant,Liver Transplant
229,0.000103983,1269.17181,162194.8363,1269.171706,Liver transplant,Liver Transplant
230,0.000263149,1269.172073,161153.4051,1269.17181,Liver transplant,Decomp
231,0.000263149,1269.172337,161153.4051,1269.172073,Liver transplant,Decomp
232,0.592462823,1269.764799,161116.1173,1269.172337,Liver transplant,Decomp
233,2.94770121,1272.712501,161091.1072,1269.764799,Liver transplant,Decomp
234,0.007441128,1272.719942,160795.0484,1272.712501,Liver transplant,Liver Transplant - Tx
235,0.000226727,1272.720168,160781.0651,1272.719942,Liver transplant,Liver Transplant
236,0.176792252,1272.896961,160718.0118,1272.720168,Liver transplant,Decomp
237,7.92351E-05,1272.89704,160682.4599,1272.896961,Liver transplant,Liver Transplant
238,0.319474169,1273.216514,160516.4294,1272.89704,Liver transplant,Decomp
239,0.000330876,1273.216845,160321.5605,1273.216514,Liver transplant,Liver Transplant
240,0.000330876,1273.217176,160321.5605,1273.216845,Liver transplant,Liver Transplant
241,0.054198799,1273.271375,160038.592,1273.217176,Liver transplant,Liver Transplant
242,0.015039373,1273.286414,159696.5745,1273.271375,Liver transplant,Liver Transplant
243,0.008897983,1273.295312,159536.8296,1273.286414,Liver transplant,Liver Transplant
244,0.002671783,1273.297984,159344.2262,1273.295312,Liver transplant,Liver Transplant
245,0.025354024,1273.323338,158707.2172,1273.297984,Liver transplant,Liver Transplant
246,4.48E-06,1273.323342,158512.7387,1273.323338,Liver transplant,Decomp
247,0.014600527,1273.337943,158226.222,1273.323342,Liver transplant,Liver Transplant
248,0.000211188,1273.338154,158012.9324,1273.337943,Liver transplant,Decomp
249,0.000211188,1273.338365,158012.9324,1273.338154,Liver transplant,Decomp
250,0.000538597,1273.338904,157985.1724,1273.338365,Liver transplant,Decomp
251,0.000538597,1273.339442,157985.1724,1273.338904,Liver transplant,Decomp
252,0.002958855,1273.342401,157939.5862,1273.339442,Liver transplant,Decomp
253,0.002958855,1273.34536,157939.5862,1273.342401,Liver transplant,Decomp
254,0.033021543,1273.378382,157427.9627,1273.34536,Liver transplant,Liver Transplant
255,0.031225751,1273.409607,157141.8132,1273.378382,Liver transplant,Liver Transplant
256,0.017301474,1273.426909,156962.0466,1273.409607,Liver transplant,Liver Transplant
257,0.032648474,1273.459557,156890.7002,1273.426909,Liver transplant,Liver Transplant
258,0.010586562,1273.470144,156791.3963,1273.459557,Liver transplant,Liver Transplant
259,1.3221E-05,1273.470157,156686.6783,1273.470144,Liver transplant,Decomp
260,0.012573927,1273.482731,156527.3943,1273.470157,Liver transplant,Liver Transplant
261,0.23197535,1273.714706,156478.3482,1273.482731,Liver transplant,Decomp
262,0.000897164,1273.715604,156387.1978,1273.714706,Liver transplant,Liver Transplant
263,7.3277E-05,1273.715677,156381.5401,1273.715604,Liver transplant,Liver Transplant
264,0.000311368,1273.715988,156335.2444,1273.715677,Liver transplant,Liver Transplant
265,0.001048319,1273.717037,156288.3066,1273.715988,Liver transplant,Liver Transplant
266,0.000513635,1273.71755,156284.4462,1273.717037,Liver transplant,Liver Transplant
267,7.68503E-05,1273.717627,156281.6886,1273.71755,Liver transplant,Liver Transplant
268,2.63731E-05,1273.717653,156246.6167,1273.717627,Liver transplant,Liver Transplant
269,0.000363204,1273.718017,156153.4734,1273.717653,Liver transplant,Liver Transplant
270,0.000177255,1273.718194,156148.5903,1273.718017,Liver transplant,Liver Transplant
271,0.668356974,1274.386551,156147.9846,1273.718194,Liver transplant,Decomp
272,2.7905E-05,1274.386579,156144.8292,1274.386551,Liver transplant,Liver Transplant
273,0.00047566,1274.387054,155920.1692,1274.386579,Liver transplant,Liver Transplant - Tx
274,0.00047566,1274.38753,155920.1692,1274.387054,Liver transplant,Liver Transplant - Tx
275,1.31581E-06,1274.387531,155370.3898,1274.38753,Liver transplant,Liver Transplant - Tx
276,4.38694E-07,1274.387532,155355.0409,1274.387531,Liver transplant,Liver Transplant - Tx
